Unnamed: 0,Pseudomonas,Haemophilus,Streptococcus,Veillonella,Neisseria,Granulicatella,Prevotella,Candida,Saccharomyces,Curvularia,RV,Flu_B,MPV
Pseudomonas,0.0,-10.2754995631086,-15.511631242451001,4.16610793190093,-6.28114148023337,-4.701704890864081,-3.6377516309814704,-11.4662511138661,-7.19467419405527,-7.1715540111720095,14.309978121688301,-21.6719277280715,27.224837269267603
Haemophilus,-10.2754995631086,0.0,7.99153354252237,7.278831330025281,-3.0464253398167505,-4.770915307724071,8.10410802469877,12.4074776001461,10.9182042414692,0.0,-4.70972745110618,3.9224269759645702,-5.23715813302832
Streptococcus,-15.511631242451001,7.99153354252237,0.0,30.5297869264531,21.31655199953,18.3629515475702,18.2366880841673,-4.19062433315733,30.126580122582197,6.97574838875828,-5.051931858436969,0.0,-9.49198397010007
Veillonella,4.16610793190093,7.278831330025281,30.5297869264531,0.0,0.0,16.488945992883302,34.8439390532128,-4.99943982391422,13.1402856460567,0.0,11.8058199174758,-8.421051950438269,-4.9326249106776
Neisseria,-6.28114148023337,-3.0464253398167505,21.31655199953,0.0,0.0,16.656053940025803,9.35771726219201,11.1335820492116,-4.88073379876529,9.358758855880222,-3.6288539597471,-2.92150646366904,-6.069636003499731
Granulicatella,-4.701704890864081,-4.770915307724071,18.3629515475702,16.488945992883302,16.656053940025803,0.0,32.4228538978971,0.0,25.028380560394602,14.508834104862599,2.3593467196517004,-5.35330494603353,-6.5466877363617595
Prevotella,-3.6377516309814704,8.10410802469877,18.2366880841673,30.315987728886,9.393091462484419,33.3127074237865,0.0,-4.615900904224961,13.1704179556312,13.5301770534025,-1.9793764880970601,-9.93562300913526,-5.4826518806868805
Candida,-18.9097243245246,12.4074776001461,-4.19062433315733,-4.99943982391422,11.1335820492116,0.0,-4.615900904224961,0.0,-27.004303897461902,-17.5595839641838,-16.0993572347292,-16.0501821325862,-15.1938005857794
Saccharomyces,-7.19467419405527,10.9182042414692,30.126580122582197,13.1402856460567,-4.88073379876529,25.028380560394602,13.1704179556312,-13.8085866492222,0.0,0.0,12.199319753198399,-5.682238397389231,-7.14069157544842
Curvularia,-7.1715540111720095,0.0,6.97574838875828,0.0,9.358758855880222,14.508834104862599,13.5301770534025,0.0,0.0,0.0,-7.88426260491325,7.551166474774719,0.0
RV,14.309978121688301,-5.41185237778055,-5.051931858436969,11.8058199174758,-3.6288539597471,2.3593467196517004,-51.9793764880971,-15.213264766977598,12.199319753198399,-14.3141270278761,0.0,-12.02976684795,-10.5573515840606
Flu_B,-21.6719277280715,3.9224269759645702,0.0,-8.421051950438269,-2.92150646366904,-5.35330494603353,-9.93562300913526,-9.72129491077306,-5.682238397389231,7.551166474774719,-7.221837161794361,0.0,0.0
MPV,27.224837269267603,-5.23715813302832,-9.49198397010007,-4.9326249106776,-6.069636003499731,-6.5466877363617595,-5.4826518806868805,0.0,-7.14069157544842,0.0,0.0,0.0,0.0
